group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
v021,v021,0.06,0.13555379211902618,0.11062704026699066,0.10749834030866623,0.14828868210315704,0.11062704026699066,0.12514093779027463,0.12514093779027463,0.0,0.0,0.0,0.9998640414469977,0.904485277974773,0.003565677674487233
v023,v023,0.05,0.1357850879430771,0.1105496883392334,0.1070796474814415,0.1478898525238037,0.1105496883392334,0.12511912845075132,0.12511912845075132,0.0,0.0,0.0,0.9998631131007194,0.9040836012458141,0.0035953987389802933
v023,v023,0.06,0.13571077585220337,0.1104639396071434,0.1069914922118187,0.14771772921085358,0.1104639396071434,0.12502952776849272,0.12502952776849272,0.0,0.0,0.0,0.9998026359892472,0.9032212617037366,0.004315629601478577
v021,v021,0.08,0.1353491097688675,0.11050917208194733,0.10748928785324097,0.14813277125358582,0.11050917208194733,0.1249965213239193,0.1249965213239193,0.0,0.0,0.0,0.9997578407008443,0.9031783947736908,0.004757459741085768
v021,v021,0.1,0.13513778150081635,0.11038901656866074,0.10747720301151276,0.1479731798171997,0.11038901656866074,0.12484760507941248,0.12484760507941248,0.0,0.0,0.0,0.9996209141686021,0.9018421852800163,0.0059507922269403934
v023,v023,0.08,0.1355561912059784,0.11029024422168732,0.10681258141994476,0.14737015962600708,0.11029024422168732,0.1248462624847889,0.1248462624847889,0.0,0.0,0.0,0.9996482442236138,0.9014644641581573,0.005757303908467293
v021,v021,0.12,0.13492009043693542,0.11026671528816223,0.10746211558580399,0.1478099226951599,0.11026671528816223,0.12469436489045621,0.12469436489045621,0.0,0.0,0.0,0.9994531124052888,0.90047738256441,0.007145742420107126
v023,v023,0.1,0.13539382815361023,0.11011357605457306,0.10663023591041565,0.14701825380325317,0.11011357605457306,0.12465765625238419,0.12465765625238419,0.0,0.0,0.0,0.9994490155316446,0.899664297907143,0.0072005875408649445
v021,v021,0.14,0.13469603657722473,0.11014217138290405,0.10744409263134003,0.14764313399791718,0.11014217138290405,0.12453679516911509,0.12453679516911509,0.0,0.0,0.0,0.9992542749080657,0.8990833560651214,0.008342193439602852
v023,v023,0.12,0.1352238953113556,0.10993405431509018,0.10644448548555374,0.14666220545768738,0.10993405431509018,0.12446386255323887,0.12446386255323887,0.0,0.0,0.0,0.9992046329292921,0.8978210185276534,0.008645289577543736
v021,v021,0.16,0.13446593284606934,0.11001555621623993,0.10742314904928207,0.14747284352779388,0.11001555621623993,0.12437509335577489,0.12437509335577489,0.0,0.0,0.0,0.9990243081669554,0.8976607698232132,0.009539900347590446
v023,v023,0.14,0.13504676520824432,0.10975169390439987,0.10625544935464859,0.14630213379859924,0.10975169390439987,0.12426508329808712,0.12426508329808712,0.0,0.0,0.0,0.9989148330205389,0.8959343760658842,0.010091211646795273
v023,v023,0.16,0.13486245274543762,0.10956653952598572,0.10606322437524796,0.14593815803527832,0.10956653952598572,0.12406136505305768,0.12406136505305768,0.0,0.0,0.0,0.9985793340877163,0.8940048711950667,0.011538410559296608
conservative,v016+v017+v031+v032,0.14,0.1393604427576065,0.11407043039798737,0.10917557030916214,0.15094482898712158,0.11407043039798737,0.1284041468054056,0.12342515777616166,0.004149157524369951,0.0,0.0,0.9974894363706748,0.92914915752437,0.015368866734206676
conservative,v016+v017+v031+v032,0.16,0.13970999419689178,0.11449155956506729,0.10939428210258484,0.1512402445077896,0.11449155956506729,0.12875013202428817,0.12052365415538832,0.006855398224083209,0.0,0.0,0.9966945982648848,0.9318553982240833,0.017606185749173164
